cashier.alipay.com,cashier.alipay.com,10.0
XLDaQuan,xldaquan,
tv.sohu.com,tv.sohu.com,5.0
Game,game,2.0
www.hao123.com,www.hao123.com,
TheWorld,theworld,
www.youku.com,www.youku.com,1.0
kugou7,kugou7,1.0
FileSmasher,filesmasher,
360zip,360zip,7.0
www.google.com.hk,www.google.com.hk,
Acrobat,acrobat,
WindowsXP-KB2695962-x86-CHS,windowsxp-kb2695962-x86-chs,
v.qq.com,v.qq.com,
klive,klive,
DNFchina,dnfchina,
wandoujia2,wandoujia2,7.0
LOLBox,lolbox,2.0
ent.qq.com,ent.qq.com,
WindowsXP-KB2718704-x86-CHS,windowsxp-kb2718704-x86-chs,
stockway,stockway,
ThunderLiveUD,thunderliveud,7.0
seup,seup,
weibo.com,weibo.com,
mmc,mmc,
hi.baidu.com,hi.baidu.com,
XiuXiu,xiuxiu,
rrbrowser,rrbrowser,
Stormtray,stormtray,
Storm,storm,
i.taobao.com,i.taobao.com,11.0
www.soso.com,www.soso.com,
www.sina.com.cn,www.sina.com.cn,
rc.qzone.qq.com,rc.qzone.qq.com,
p.777wyx.com,p.777wyx.com,
bugreport,bugreport,
QDesk,qdesk,
KMPlayer,kmplayer,3.0
SADU,sadu,
hypmain,hypmain,
rate.taobao.com,rate.taobao.com,11.0
news.ifeng.com,news.ifeng.com,5.0
buy.taobao.com,buy.taobao.com,11.0
video.sina.com.cn,video.sina.com.cn,1.0
ScreenHelper,screenhelper,
map.baidu.com,map.baidu.com,
2012.qq.com,2012.qq.com,
about:Tabs,about:tabs,
store.taobao.com,store.taobao.com,11.0
freecell,freecell,
www.,www.,
C+WClient,c+wclient,
Thunder5,thunder5,7.0
夜光时钟,夜光时钟,
www.tmall.com,www.tmall.com,
finance.qq.com,finance.qq.com,
tray,tray,
TenSafe,tensafe,
www.iqiyi.com,www.iqiyi.com,
news.sina.com.cn,news.sina.com.cn,5.0
Launch,launch,
news.163.com,news.163.com,5.0
ksafevulfix,ksafevulfix,
QQPCLeakScan,qqpcleakscan,
KuGoo,kugoo,
hh,hh,
baohezi,baohezi,
_iu14D2N.tmp,_iu14d2n.tmp,
QTC,qtc,
emule,emule,
lab.alipay.com,lab.alipay.com,10.0
www.qq.com,www.qq.com,
TBBrowserDownload,tbbrowserdownload,
taojinbi.taobao.com,taojinbi.taobao.com,11.0
iask.sina.com.cn,iask.sina.com.cn,
BaiduHi,baiduhi,
www,www,
wuliu.taobao.com,wuliu.taobao.com,11.0
Launcher,launcher,
v.ku6.com,v.ku6.com,
data,data,
123.sogou.com,123.sogou.com,
QQYXS,qqyxs,
NewsjRpg,newsjrpg,5.0
11Game,11game,2.0
wuauclt,wuauclt,
WDPayPro,wdpaypro,10.0
doubleddzRpg,doubleddzrpg,2.0
League of Legends,league of legends,
login.sina.com.cn,login.sina.com.cn,
mailease,mailease,6.0
reg.163.com,reg.163.com,
glt,glt,
s.click.taobao.com,s.click.taobao.com,11.0
buy.tmall.com,buy.tmall.com,
news.sohu.com,news.sohu.com,5.0
home.pengyou.com,home.pengyou.com,
QQPCDetector,qqpcdetector,
www.pengyou.com,www.pengyou.com,
mp3.baidu.com,mp3.baidu.com,
QQbm,qqbm,
pps影讯屏保,pps影讯屏保,
PlantsVsZombies,plantsvszombies,
txupd,txupd,
GreenBrowser,greenbrowser,
Lobby,lobby,
ACDSee,acdsee,
click.simba.taobao.com,click.simba.taobao.com,11.0
RTHDCPL,rthdcpl,
wenda.tianya.cn,wenda.tianya.cn,
list.tmall.com,list.tmall.com,
cart.taobao.com,cart.taobao.com,11.0
splayer,splayer,3.0
sports.qq.com,sports.qq.com,
auction1.paipai.com,auction1.paipai.com,
GameClient,gameclient,2.0
Wow,wow,
list.taobao.com,list.taobao.com,11.0
CRadio,cradio,
www.renren.com,www.renren.com,9.0
qun.qq.com,qun.qq.com,
ACDSeeQV10,acdseeqv10,
HFAuthKid,hfauthkid,
dwwin,dwwin,
detail.zol.com.cn,detail.zol.com.cn,
www.sohu.com,www.sohu.com,5.0
www.ifeng.com,www.ifeng.com,
logon.scr,logon.scr,
v.ifeng.com,v.ifeng.com,
WindowsXP-KB2676562-x86-CHS,windowsxp-kb2676562-x86-chs,
lady.qq.com,lady.qq.com,
ThunderMini,thundermini,7.0
news.baidu.com,news.baidu.com,5.0
uTorrent,utorrent,
cleanmgr,cleanmgr,
www.56.com,www.56.com,
www.douban.com,www.douban.com,
TM,tm,
ssstars,ssstars,
alipaydownloader,alipaydownloader,10.0
my.tv.sohu.com,my.tv.sohu.com,5.0
www.163.com,www.163.com,
kankan.xunlei.com,kankan.xunlei.com,
opera,opera,
show.qq.com,show.qq.com,
profile.pengyou.com,profile.pengyou.com,
www.weather.com.cn,www.weather.com.cn,14.0
openapi.qzone.qq.com,openapi.qzone.qq.com,
www.letv.com,www.letv.com,
www.soku.com,www.soku.com,
egui,egui,
jfCacheMgr,jfcachemgr,
mail.163.com,mail.163.com,6.0
dzh2,dzh2,
TXOPShow,txopshow,
ju.atpanel.com,ju.atpanel.com,
sol,sol,
re.taobao.com,re.taobao.com,11.0
webmail.mail.163.com,webmail.mail.163.com,6.0
UDown,udown,
RocketDock,rocketdock,
dudu##1,dudu##1,
sports.sina.com.cn,sports.sina.com.cn,
www.icbc.com.cn,www.icbc.com.cn,10.0
pobo,pobo,
2012.sina.com.cn,2012.sina.com.cn,
TipsExtend,tipsextend,
wandoujia_helper,wandoujia_helper,7.0
HaoZipImgViewer,haozipimgviewer,7.0
WLXPhotoGallery,wlxphotogallery,
SHPlayer,shplayer,3.0
www.amazon.cn,www.amazon.cn,11.0
ctc.qzs.qq.com,ctc.qzs.qq.com,
Bubbles,bubbles,
Skype,skype,6.0
SpiderSolitaire,spidersolitaire,2.0
java,java,6.0
QQSpeed_loader,qqspeed_loader,
PIPIPlayer,pipiplayer,3.0
launchcrossfire,launchcrossfire,
ibsbjstar.ccb.com.cn,ibsbjstar.ccb.com.cn,
twchrome,twchrome,13.0
www.4399.com,www.4399.com,
ent.ifeng.com,ent.ifeng.com,
2012.163.com,2012.163.com,
SDFrame,sdframe,
IEProc,ieproc,
cnc.qzs.qq.com,cnc.qzs.qq.com,
mstsc,mstsc,
Rsaupd,rsaupd,
肥皂泡泡,肥皂泡泡,
CCBCertificate,ccbcertificate,
www.qq937.com,www.qq937.com,
OIS,ois,
cstrike,cstrike,
e.weibo.com,e.weibo.com,
NetworkBench,networkbench,
favorite.taobao.com,favorite.taobao.com,11.0
WindowsXP-KB2686509-x86-CHS,windowsxp-kb2686509-x86-chs,
news.xinhuanet.com,news.xinhuanet.com,5.0
qzone.qq.com,qzone.qq.com,
blog.renren.com,blog.renren.com,9.0
kyodaiRPG,kyodairpg,
t.100tjs.com,t.100tjs.com,
patcher,patcher,
ime0,ime0,
ju.taobao.com,ju.taobao.com,11.0
t.iloveyouxi.com,t.iloveyouxi.com,
DuoMi,duomi,3.0
qqnmctf,qqnmctf,
www.suning.com,www.suning.com,
javaw,javaw,6.0
Timwp,timwp,
iTudou,itudou,
iku,iku,
yygwebwnd,yygwebwnd,
wpp,wpp,
nlnotes,nlnotes,
Silverlight_KB2690729,silverlight_kb2690729,
热带鱼屏保,热带鱼屏保,
www.kaixin001.com,www.kaixin001.com,
RTX,rtx,
QiyiClient,qiyiclient,
QBDownloader,qbdownloader,
crossfire,crossfire,
XLDoctorUI,xldoctorui,
nEOKanKan,neokankan,
unins000,unins000,
www.tenpay.com,www.tenpay.com,10.0
UserGuide,userguide,
popwndexe,popwn,
QQExternalEx,qqexternalex,
t.whlongda.com,t.whlongda.com,
www.paipai.com,www.paipai.com,
www.xunlei.com,www.xunlei.com,
www.yihaodian.com,www.yihaodian.com,
qqnmtf,qqnmtf,
51pollAssistant,51pollassistant,
Kuaiwan,kuaiwan,
flashApp,flashapp,
box.zhangmen.baidu.com,box.zhangmen.baidu.com,
SynTPEnh,syntpenh,
s8.taobao.com,s8.taobao.com,11.0
mybank.icbc.com.cn,mybank.icbc.com.cn,10.0
AdobeARM,adobearm,
excelcnv,excelcnv,6.0
ww,ww,
www.120ask.com,www.120ask.com,
www.12306.cn,www.12306.cn,
member1.taobao.com,member1.taobao.com,11.0
ent.163.com,ent.163.com,
